bill_id,customer_id,billing_month,amount_due,amount_paid,payment_status,payment_date
BILL000222,CUST0008,2024-07-01,159.99,159.99,Paid,2024-07-06
BILL000223,CUST0008,2024-08-01,154.99,105.26,Partial,2024-08-18
BILL000224,CUST0008,2024-09-01,149.99,149.99,Paid,2024-09-02
BILL000225,CUST0008,2024-10-01,154.99,154.99,Paid,2024-10-08
BILL000226,CUST0008,2024-11-01,149.99,149.99,Paid,2024-11-06
BILL000227,CUST0008,2024-12-01,144.99,144.99,Late,2024-12-29
BILL000228,CUST0008,2025-01-01,144.99,144.99,Paid,2025-01-07
BILL000229,CUST0008,2025-02-01,159.99,159.99,Paid,2025-02-08
BILL000230,CUST0008,2025-03-01,149.99,149.99,Paid,2025-03-07
BILL000231,CUST0008,2025-04-01,154.99,154.99,Paid,2025-04-10
BILL000232,CUST0008,2025-05-01,149.99,149.99,Paid,2025-05-05
BILL000233,CUST0008,2025-06-01,159.99,159.99,Paid,2025-06-02
BILL000234,CUST0008,2025-07-01,149.99,149.99,Paid,2025-07-11
BILL000235,CUST0008,2025-08-01,149.99,149.99,Paid,2025-08-03
BILL000236,CUST0008,2025-09-01,144.99,144.99,Paid,2025-09-11
BILL000237,CUST0008,2025-10-01,144.99,144.99,Paid,2025-10-02
BILL000238,CUST0008,2025-11-01,154.99,154.99,Paid,2025-11-03
BILL000239,CUST0008,2025-12-01,154.99,154.99,Paid,2025-12-06
BILL000240,CUST0008,2026-01-01,159.99,159.99,Paid,2026-01-08
BILL000241,CUST0008,2026-02-01,159.99,159.99,Paid,2026-02-06
BILL000242,CUST0008,2026-03-01,149.99,149.99,Paid,2026-03-11
BILL000243,CUST0008,2026-04-01,159.99,159.99,Paid,2026-04-02
BILL000244,CUST0008,2026-05-01,149.99,149.99,Paid,2026-05-09
BILL000245,CUST0008,2026-06-01,154.99,154.99,Paid,2026-06-11
BILL000246,CUST0009,2023-07-01,109.99,109.99,Paid,2023-07-08
BILL000247,CUST0009,2023-08-01,114.99,114.99,Paid,2023-08-07
BILL000248,CUST0009,2023-09-01,109.99,109.99,Paid,2023-09-02
BILL000249,CUST0009,2023-10-01,119.99,119.99,Paid,2023-10-07
BILL000250,CUST0009,2023-11-01,104.99,104.99,Paid,2023-11-10
BILL000251,CUST0009,2023-12-01,109.99,109.99,Paid,2023-12-02
BILL000252,CUST0009,2024-01-01,109.99,109.99,Paid,2024-01-08
BILL000253,CUST0009,2024-02-01,109.99,109.99,Paid,2024-02-08
BILL000254,CUST0009,2024-03-01,119.99,119.99,Paid,2024-03-10
BILL000255,CUST0009,2024-04-01,109.99,109.99,Paid,2024-04-10
BILL000256,CUST0009,2024-05-01,119.99,119.99,Paid,2024-05-10
BILL000257,CUST0009,2024-06-01,109.99,109.99,Paid,2024-06-03
BILL000258,CUST0009,2024-07-01,104.99,104.99,Paid,2024-07-08
BILL000259,CUST0009,2024-08-01,109.99,109.99,Paid,2024-08-06
BILL000260,CUST0009,2024-09-01,109.99,109.99,Paid,2024-09-05
BILL000261,CUST0009,2024-10-01,114.99,114.99,Paid,2024-10-05
BILL000262,CUST0009,2024-11-01,119.99,119.99,Paid,2024-11-06
BILL000263,CUST0009,2024-12-01,104.99,104.99,Paid,2024-12-02
BILL000264,CUST0009,2025-01-01,109.99,109.99,Paid,2025-01-06
BILL000265,CUST0009,2025-02-01,114.99,114.99,Paid,2025-02-07
BILL000266,CUST0009,2025-03-01,109.99,109.99,Paid,2025-03-03
BILL000267,CUST0009,2025-04-01,104.99,104.99,Paid,2025-04-08
BILL000268,CUST0009,2025-05-01,109.99,109.99,Paid,2025-05-04
BILL000269,CUST0009,2025-06-01,119.99,119.99,Paid,2025-06-07
BILL000270,CUST0009,2025-07-01,114.99,114.99,Paid,2025-07-04
BILL000271,CUST0009,2025-08-01,114.99,114.99,Paid,2025-08-10
BILL000272,CUST0009,2025-09-01,114.99,114.99,Paid,2025-09-11
BILL000273,CUST0009,2025-10-01,109.99,109.99,Paid,2025-10-02
BILL000274,CUST0009,2025-11-01,109.99,109.99,Paid,2025-11-05
BILL000275,CUST0009,2025-12-01,114.99,114.99,Paid,2025-12-05
BILL000276,CUST0009,2026-01-01,109.99,109.99,Paid,2026-01-04
BILL000277,CUST0009,2026-02-01,114.99,114.99,Late,2026-02-23
BILL000278,CUST0009,2026-03-01,114.99,114.99,Paid,2026-03-10
BILL000279,CUST0009,2026-04-01,109.99,109.99,Paid,2026-04-08
BILL000280,CUST0009,2026-05-01,109.99,109.99,Paid,2026-05-10
BILL000281,CUST0009,2026-06-01,114.99,114.99,Paid,2026-06-05
BILL000282,CUST0010,2025-05-01,84.98,84.98,Paid,2025-05-06
BILL000283,CUST0010,2025-06-01,84.98,41.84,Partial,2025-06-12
BILL000284,CUST0010,2025-07-01,79.98,79.98,Paid,2025-07-11
BILL000285,CUST0010,2025-08-01,79.98,79.98,Paid,2025-08-11
BILL000286,CUST0010,2025-09-01,89.98,89.98,Paid,2025-09-09
BILL000287,CUST0010,2025-10-01,79.98,79.98,Paid,2025-10-04
BILL000288,CUST0010,2025-11-01,79.98,45.48,Partial,2025-11-14
BILL000289,CUST0010,2025-12-01,89.98,89.98,Paid,2025-12-09
BILL000290,CUST0010,2026-01-01,74.98,74.98,Paid,2026-01-02
BILL000291,CUST0010,2026-02-01,74.98,48.16,Partial,2026-02-15
BILL000292,CUST0010,2026-03-01,79.98,79.98,Paid,2026-03-06
BILL000293,CUST0010,2026-04-01,74.98,74.98,Paid,2026-04-02
BILL000294,CUST0010,2026-05-01,79.98,79.98,Paid,2026-05-04
BILL000295,CUST0010,2026-06-01,79.98,79.98,Paid,2026-06-08
BILL000296,CUST0011,2023-07-01,129.99,129.99,Late,2023-07-22
BILL000297,CUST0011,2023-08-01,129.99,129.99,Paid,2023-08-11
BILL000298,CUST0011,2023-09-01,129.99,129.99,Paid,2023-09-02
BILL000299,CUST0011,2023-10-01,129.99,129.99,Paid,2023-10-07
BILL000300,CUST0011,2023-11-01,139.99,139.99,Paid,2023-11-03
BILL000301,CUST0011,2023-12-01,134.99,134.99,Late,2023-12-20
BILL000302,CUST0011,2024-01-01,134.99,134.99,Paid,2024-01-10
BILL000303,CUST0011,2024-02-01,129.99,129.99,Paid,2024-02-08
BILL000304,CUST0011,2024-03-01,139.99,139.99,Late,2024-03-29
BILL000305,CUST0011,2024-04-01,129.99,129.99,Paid,2024-04-11
BILL000306,CUST0011,2024-05-01,139.99,139.99,Paid,2024-05-02
BILL000307,CUST0011,2024-06-01,139.99,139.99,Paid,2024-06-05
BILL000308,CUST0011,2024-07-01,129.99,129.99,Paid,2024-07-11
BILL000309,CUST0011,2024-08-01,139.99,139.99,Late,2024-08-26
BILL000310,CUST0011,2024-09-01,124.99,124.99,Paid,2024-09-10
BILL000311,CUST0011,2024-10-01,139.99,139.99,Paid,2024-10-08
BILL000312,CUST0011,2024-11-01,134.99,134.99,Paid,2024-11-08
BILL000313,CUST0011,2024-12-01,139.99,139.99,Paid,2024-12-06
BILL000314,CUST0011,2025-01-01,124.99,124.99,Paid,2025-01-03
BILL000315,CUST0011,2025-02-01,129.99,129.99,Paid,2025-02-11
BILL000316,CUST0011,2025-03-01,139.99,139.99,Paid,2025-03-05
BILL000317,CUST0011,2025-04-01,139.99,139.99,Paid,2025-04-06
BILL000318,CUST0011,2025-05-01,139.99,139.99,Paid,2025-05-07
BILL000319,CUST0011,2025-06-01,129.99,129.99,Paid,2025-06-06
BILL000320,CUST0011,2025-07-01,124.99,124.99,Paid,2025-07-09
BILL000321,CUST0011,2025-08-01,124.99,124.99,Paid,2025-08-02
BILL000322,CUST0011,2025-09-01,124.99,124.99,Paid,2025-09-06
BILL000323,CUST0011,2025-10-01,134.99,134.99,Paid,2025-10-05
BILL000324,CUST0011,2025-11-01,134.99,134.99,Paid,2025-11-08
BILL000325,CUST0011,2025-12-01,129.99,129.99,Paid,2025-12-09
BILL000326,CUST0011,2026-01-01,134.99,134.99,Paid,2026-01-06
BILL000327,CUST0011,2026-02-01,129.99,129.99,Paid,2026-02-10
BILL000328,CUST0011,2026-03-01,129.99,129.99,Paid,2026-03-08
BILL000329,CUST0011,2026-04-01,129.99,129.99,Paid,2026-04-08
BILL000330,CUST0011,2026-05-01,124.99,124.99,Paid,2026-05-06
BILL000331,CUST0011,2026-06-01,129.99,129.99,Paid,2026-06-10
BILL000332,CUST0012,2023-09-01,69.99,69.99,Paid,2023-09-05
BILL000333,CUST0012,2023-10-01,69.99,69.99,Late,2023-10-27
BILL000334,CUST0012,2023-11-01,69.99,69.99,Paid,2023-11-11
BILL000335,CUST0012,2023-12-01,79.99,79.99,Paid,2023-12-04
BILL000336,CUST0012,2024-01-01,79.99,79.99,Paid,2024-01-08
BILL000337,CUST0012,2024-02-01,64.99,64.99,Paid,2024-02-07
BILL000338,CUST0012,2024-03-01,64.99,64.99,Late,2024-03-21
BILL000339,CUST0012,2024-04-01,69.99,69.99,Late,2024-04-17
BILL000340,CUST0012,2024-05-01,79.99,79.99,Paid,2024-05-08
BILL000341,CUST0012,2024-06-01,64.99,64.99,Paid,2024-06-09
BILL000342,CUST0012,2024-07-01,69.99,69.99,Paid,2024-07-07
BILL000343,CUST0012,2024-08-01,79.99,79.99,Paid,2024-08-02
BILL000344,CUST0012,2024-09-01,69.99,69.99,Paid,2024-09-08
BILL000345,CUST0012,2024-10-01,64.99,64.99,Paid,2024-10-02
BILL000346,CUST0012,2024-11-01,69.99,69.99,Paid,2024-11-04
BILL000347,CUST0012,2024-12-01,79.99,79.99,Paid,2024-12-05
BILL000348,CUST0012,2025-01-01,79.99,79.99,Paid,2025-01-02
BILL000349,CUST0012,2025-02-01,69.99,69.99,Paid,2025-02-07
BILL000350,CUST0012,2025-03-01,64.99,64.99,Late,2025-03-27
BILL000351,CUST0012,2025-04-01,69.99,69.99,Paid,2025-04-08
BILL000352,CUST0012,2025-05-01,69.99,69.99,Paid,2025-05-08
BILL000353,CUST0012,2025-06-01,64.99,64.99,Paid,2025-06-11
BILL000354,CUST0012,2025-07-01,64.99,64.99,Paid,2025-07-04
BILL000355,CUST0012,2025-08-01,64.99,64.99,Paid,2025-08-04
BILL000356,CUST0012,2025-09-01,64.99,64.99,Paid,2025-09-07
BILL000357,CUST0012,2025-10-01,69.99,69.99,Paid,2025-10-10
BILL000358,CUST0012,2025-11-01,64.99,64.99,Paid,2025-11-04
BILL000359,CUST0012,2025-12-01,79.99,79.99,Paid,2025-12-03
BILL000360,CUST0012,2026-01-01,69.99,69.99,Paid,2026-01-03
BILL000361,CUST0012,2026-02-01,69.99,69.99,Paid,2026-02-04
BILL000362,CUST0012,2026-03-01,69.99,69.99,Paid,2026-03-02
BILL000363,CUST0012,2026-04-01,69.99,69.99,Paid,2026-04-03
BILL000364,CUST0012,2026-05-01,64.99,64.99,Paid,2026-05-11
BILL000365,CUST0012,2026-06-01,74.99,74.99,Paid,2026-06-02
BILL000366,CUST0013,2023-07-01,284.98,284.98,Paid,2023-07-08
BILL000367,CUST0013,2023-08-01,284.98,284.98,Paid,2023-08-11
BILL000368,CUST0013,2023-09-01,294.98,294.98,Paid,2023-09-11
